trail_id,park_id,trail_name,region,difficulty,star,gradient,surface,length,time,summary
T11,P21,Double Haven Country Trail,North New Territories,3,2,2,2,13.2,6,"Some people say the history of Hong Kong is all about migration; in particular, Hakka culture plays a major role in it. Located on the northeastern shore of Plover Cove Country Park, Lai Chi Wo is home to a well-preserved Hakka walled village with a history of more than 400 years. A place of scenic beauty, it features geological wonders, natural habitats, ancient villages, and Hakka Culture. The starting point Wu Kau Tang was once called ‘Wu Kwai Tin’, which literally means Tortoise Field, but villagers replaced ‘Kwai’ with ‘Kau’ for its auspicious meaning. As of today, the tortoises have long gone, but the clean water of the streams in the forest has provided a habitat for various species of insects, making it a popular destination to see dragonflies in summer. On the coast of Sam A Chung, Yan Chau Tong Marine Park comes into full view. The pink colour of the bay is given by the extremely high iron content in the sandstone, the oxidation condition of which was strengthened by high temperature when the strata were being formed. Not only does Lai Chi Wo offer beautiful coastal scenery, a taste of Hakka culture in walled villages, and traditional delicacies, but it is also home to many special old trees, including Autumn Maple, whose trunk is hollow, the primeval Heritiera woods, which are the largest of their kind in the territory, Small-fruited Fig, whose aerial roots hold onto Autumn Maple, and the Five-fingered Camphor Tree, a ‘finger’ of which was unfortunately cut down by the Japanese forces during the Japanese occupation."
T12,P23,Eagle's Nest Nature Trail,Central New Territories,1,2,1,1,3,1.5,"Eagle’s Nest, also known as Tsim Shan, is located inside Lion Rock Country Park near Shek Lei Pui Reservoir. On Eagle’s Nest, Black Kite, a commonly seen raptor, can easily be spotted hovering overhead. Eagle’s Nest Nature Trail is close to urban areas and suitable for families. Near the start point of the trail, vistas of Kowloon Reservoir come into view; in the middle part, there is a pavilion that looks out on the central part of Kowloon. Views of outstanding scenic beauty stretch as far as the eye can see – visitors can catch sight of Diamond Hill, Kowloon Tong, So Uk, and Beacon Hill. Further ahead, a delightful panoramic view of mountains in Central New Territories like Kam Shan, Smuggler’s Ridge, Tai Mo Shan, and Needle Hill can be seen. The nature trail also features Shiuying Bamboo, which is named after Hong Kong botanist Dr. Hu Shiuying. First discovered in Tsim Shan in 1981, Shiuying Bamboo is a native Poaceae plant. This flora species is a delight to look at, as it frequently has purple spots between internodes when young and grows with bright green leaves in multi-stemmed clumps. Graceful and elegant, it certainly lives up to its name."
T13,P15,Fan Lau Country Trail,Lantau,1,3,1,2,2,1,"The multicultural facet of Hong Kong could be manifested in Fan Lau Country Trail. Situated in the southernmost area of Lantau Island, Fan Lau Country Trail exhibits a blend of historical characteristics.  Tracing Section 8 of Lantau Trail backwards from Shek Pik leads through the hill paths to the long and narrow stretch of Fan Lau Tung Wan, with the monument Fan Lau Fort at its end.  As recorded in literature of the Ming Dynasty, the site once held 20 barracks and 8 cannons while the existing site was constructed in the latter years of Emperor Kangxi’s reign in the Qing Dynasty – it is little wonder that touring Fan Lau Country Trail gives hikers a sense of what time travel is like.  Continuing from the fort would bring you to Fan Lau Kok, where you can see the magnificent scene of muddy waters of the Pearl River merging with clear blue sea waters coming from the east – a must-visit spot for photography lovers. Apart from the fort and borders of waters, there is a path leading to Stone Circle, which has a longer history than the fort – it can be traced back to the late Neolithic or the early Bronze Age.  The stones appear to be laid out in an oval shape, remaining intact and highly valuable for appreciation."
T14,P04,Fu Tei Country Trail,West New Territories,2,3,0,2,4,2,"For the many places whose historical side has been swallowed up by towering skyscrapers, names are all that is left.  One such example is Fu Tei, Tuen Mun, where, according to legend, tigers could be spotted.  The pity of it is that the truth of it will always remain a mystery. A little distance ahead, the sound of rushing water of Fu Tei Hang stream can be heard. Just above Fu Tei Hang along the hill, the level and well-shaded Fu Tei Country Trail lies.  At the end of the stream sits Lam Tei Irrigation Reservoir, which was put into service in 1957.  It is a long and narrow lake.  In autumn, the hills behind the trees turn golden in the breeze, reflected together with the azure sky in the placid waters of the lake.  Its dam is also long and narrow, so when looked back at the dam, the reservoir is like a long river deep into the woods and mountains.  The hike is never complete without paying a visit to the monument erected next to the dam, which was inscribed ‘Lo Fu Hang Dam, Hung Shui Hang, Yuen Long, the New Territories’ and unveiled by the then Governor of Hong Kong Sir Alexander William George Herder Grantham.  This provides proof that the stream was once called ‘Lo Fu Hang’; the question now is, ‘is the legend about tigers being around true?’"
T15,P21,Fung Hang Family Walk,North New Territories,1,3,1,1,2,0.75,"Visitors are a rarity in many border regions, but it is these areas that provide a habitat for a wealth of wildlife. The same is true of Hong Kong. During spring and summer, Sha Tau Kok Hoi, in which the famous egretry in A Chau is situated, houses huge flocks of egrets and herons, an easily spotted species of waterfowl that perches on wetlands. They can be seen foraging for food by flying low to the ground from Fung Hang Family Walk, which is set by the sea. As soon as the trail enters the woodland, it reaches a viewing point on a knoll, overlooking the wetlands formed by the villages and fields in Kai Kuk Shue Ha, Fung Hang, and Nam Hang Mei. Thanks to the mountain ranges that separate this place from the hustle and bustle of the city, it has become an unspoilt paradise for animals and us."
T16,P12,High Island Geo Trail,Sai Kung,2,3,2,2,4.3,3,"Geological wonders are not necessarily situated on remote outlying islands. Some world-class landforms lie at the High Island Reservoir east dam, which is just a 40-minute drive from Sai Kung Town Centre. On one side of the dam is the man-made reservoir, which is the largest of all in Hong Kong in terms of capacity; on the other side are some spectacular hexagonal rock columns formed some 140 million years ago as mixtures of lava, detritus, volcanic ashes contracted during the cooling period after the frequent volcanic activities. They appear in an S-pattern because the columns were still contracting while a tectonic shift was taking place. As you walk along the trail towards the sea, you can see Po Pin Chau, which looks like a piece of cake. It was once part of Fa Shan, but was cut away from it because of years of wave impact, giving the flank of Po Pin Chau a row of sea stacks that look as if they were cut with a knife with a serrated blade. Don’t miss out on the wooden bridge at the east dam, which allows you to take a close look at the sea cave."
T17,P12,High Junk Peak Country Trail,Sai Kung,3,2,3,3,6.4,3,"Soaring at an altitude of 344 metres with pointed edges, High Junk Peak, the highest summit in Clearwater Bay Peninsula, is crowned as one of the three steepest climbs in Sai Kung along with Sharp Peak and Tai Yue Ngam Teng in Sai Kung East Country Park.  High Junk Peak Country Trail passes several bays, including Port Shelter, Clearwater Bay, as well as Joss House Bay, and runs through Clearwater Bay Country Park from the north to the south.  The path lays along ridges that separates Tseung Kwan O New Town from rural beauty, displaying how close country trails are to us.  If you look up at the 344-metre High Junk Peak from the hillside, the sloping mountain resembles an Indian tent.  Some say the mountain looks like a fisherman with a straw cape and a conical hat, which explains how High Junk Peak got its name.  Walking along the path towards Tin Ha Shan, you will be embraced by blue sky, turquoise water, and the surrounding mountains. On any clear days, you may even be able to view Ninepin Group and Basalt Island that are on the east of the city.  Near the ending point of the route is Joss House Bay, which holds a Tin Hau Temple that was built in 1266 and the most ancient local rock inscription, which was carved in 1274 in Southern Song period.  The inscription depicts the scene of salt administration officers visiting Fat Tong Mun with their friends and the history of the old temple."
T18,P06,Ho Pui Reservoir Family Walk,West New Territories,1,2,1,1,2.1,1,"Located inside Tai Lam Country Park, Ho Pui Reservoir is an irrigation reservoir in Pat Heung, Yuen Long that feeds the fields in northwest New Territories. Compared to other large reservoirs, Ho Pui Reservoir bears a closer to a small lake in the mountains. When the water level is high, the submerged forests and the islets are like a gigantic sea turtle that has its emerald carapace emerged on the water surface. Apart from the gentle uphill slope before the entrance, the trail consists of level muddy paths that are easy to walk on. Towards the end is one of the very few S-shaped dams in Hong Kong. It sits nicely between artificial splendour and natural beauty, with a 17.4-metre outfall on one side and an oasis surrounded by water on the other. In the proximity to the family walk, there are campsites and organic farms, making it an ideal place for families to get close to nature."
T19,P01,Hok Tau Country Trail,North New Territories,2,2,2,2,2.5,1,"Offering a rare but pastoral scene with many farmhouses and farms that produce a type of local cabbages, Hok Tau is a great place for family weekend trips.  The entrance of Hok Tau Country Trail is a neatly arranged area of plantations.  The opening section of the trail stretches across ridges that lead up to a lookout overlooking Hok Tau, Lung Yeuk Tau, and Fanling.  Along the ridges there are also many villages and village houses, with some fields, each having their own characteristics, open to visitors and filled with children’s cheers and laughter.  By the side of Hok Tau Village is a huge piece of farmland, which is sowed with papayas, bitter melons, and fruits and vegetables in season, and where various kinds of dragonflies are seen in summer.  Kids will no doubt have great fun identifying crops and insects."
T20,P01,Hok Tau Reservoir Family Walk,North New Territories,1,3,1,1,2.5,1,"Located inside Pat Sin Leng Country Park, Hok Tau Reservoir was once an area of streams and marshes with abundant water supply and therefore an irrigation reservoir was built there in 1968. For those who opt for doing things one step at a time, follow the left trail by strolling on a gentle uphill footpath; for those who likes to make haste, take the right route on what is famously known as the ‘68 steps’ in one go. Whichever route you take, you will be rewarded with vistas of the reservoir down the mountains at the top of Pat Sin Leng Country Park. Despite a capacity of 0.18 million cubic metres only, the reservoir is narrow and full of twists and turns. Skirting along the reservoir, the family walk features a picturesque bridge arching over running river. At certain heights, it offers an aerial view of the reservoir and the dam. Since the reservoir is located in the valley with plentiful water supply, it is home to many species of butterflies and dragonflies, including the rare Macromidia ellenae and the only freshwater fish species named after the territory Macropodus hongkongensis. There are barbecue sites and campsites around the family walk, making it an ideal place for families to get close to nature."
T21,P26,Hong Kong Trail (Section 1)The Peak to Pok Fu Lam Reservoir Road,Hong Kong Island,2,3,2,2,7,2,"The bird’s eye view of Victoria Harbour from Victoria Peak is unquestionably Hong Kong’s most iconic view.  Apart from the pavilion scene often featured on postcards, an even more sweeping vista is offered at the start point of the Hong Kong Trail, Lugard Road.  Built between 1913 and 1914 with some narrow, cliff-side paths called plank roads, the hundred-year-old trail is named after the 14th Governor of Hong Kong, Sir Frederick Lugard. Not only is it a great spot to admire sunset and night views, it is also where you can witness the extraordinary scene of our city enveloped in mist in spring. The Peak Trail is surrounded by lush forestry and moss-covered rocks, dotted with a variety of flora species throughout the year – between April and May pink flowers of the Lance-leaved Sterculia, come into bloom; from July to October white flowers of the Turn-in-the-wind, embellish the trail.  Together with antique stone benches and streetlights, it exudes an air of ancient elegance. Continue on to Harlech Road, which is to the southwest of Victoria Peak, and then stroll along the shaded tree-lined trail at Pok Fu Lam Reservoir.  It will instantly connect you from the bustling financial centre to a rural idyll on the western part of Hong Kong Island, which is yet another way to tell the stories of Hong Kong."
T22,P26,Hong Kong Trail (Section 2)Pok Fu Lam Reservoir Road to Peel Rise,Hong Kong Island,2,4,2,3,4.5,1.5,"The second leg of the Hong Kong Trail starts at Pok Fu Lam Reservoir, the first reservoir in Hong Kong, which was completed in 1863 and extended in 1877 to meet the needs of the residents on Hong Kong Island.  With abundant water resources, as well as secondary forests in the catchment area and streams, it is home to a good many forest birds and insects, such as the pale thrush, the black-crowned night heron, and the Hainan blue flycatcher, filling the trail section with vibrancy and vitality especially in spring and summer.  Besides a vehicular road and a path, there is a trail ride, with pavilions and long benches in the vicinity as rest stops.  At the far end of the trail ride is a viewing platform that commands the view of Aberdeen and Lamma Island.  Towards the end of Section 2, the trail descends to Tin Wan, where the trail and skyscrapers are in close proximity to each other.  This is a distinctive characteristic of Hong Kong’s countryside – the country is just a stone’s throw away from the city.  At the finishing point, you will hear the stream gurgling down Keung Fa Kan, where the short-legged toad – an endangered species native to Hong Kong – was found."
T23,P17,Hong Kong Trail (Section 3) Peel Rise to Wan Chai Gap,Hong Kong Island,2,2,1,1,6.5,1.75,"Street names in Hong Kong provide a window into the history of our city.  One such example is Peel Rise, which was named after the 18th Governor of Hong Kong.  Section 3 of the Hong Kong Trail starts here and begins with a brief ascent, but after pouring in the rainy season during the summer months you will be rewarded with the refreshing sight of a small cascade at a stream named Keung Fa Kan.  Continue on to the level tree-shaded dirt path, you will be greeted with a variety of species of ferns and mosses along the trailside.  Further into the woodland, you can catch a glimpse of the Aberdeen Upper Reservoir and the Aberdeen Lower Reservoir, which were completed in the 1930s.  The Aberdeen Lower Reservoir, built in 1890, was once privately owned by Tai Shing Paper Manufacturing Company and later bought and expanded by the government to solve the problem of water shortages in the western part of Hong Kong Island.  The granite-built dam, the valve house reminiscent of Renaissance architecture, and the arch bridge of the Aberdeen Upper Reservoir are declared monuments as well as popular photo spots among hikers."
T24,P17,Hong Kong Trail (Section 4)Wan Chai Gap to Wong Nai Chung Gap,Hong Kong Island,2,2,2,2,7.5,2,"If there is a place to learn all about the flora and the history of Hong Kong, it has to be its countryside.  Section 4 of the Hong Kong Trail starts at Lady Clementi’s Ride, which was named after the wife of the 17th Governor of Hong Kong Sir Cecil Clementi.  Traversing Aberdeen Reservoirs, the tree-shaded path is home to a great many species of insects and birds.  If you walk on to Wan Chai Gap and cross the two delicate English bridges there, you will see native tree species like Ivy Tree, Turn-in-the-wind, Reevesia, and Incense Tree.  Incense Tree, which got its name because of its fragrant incense, was once a timber export so important that it is said to be the origin of Hong Kong’s name.  Blessed with abundant water resources, the mature secondary forests and Aberdeen Reservoirs house different species of birds, such as the whistling thrush, the Chinese hwamei, the greater necklaced laughingthrush, and the fork-tailed sunbird.  The route comes to an end at Wong Nai Chung Gap.  Surviving war relics can be found here in this important battlefield of the Second World War."
T25,P05,Hong Kong Trail (Section 5)Wong Nai Chung Gap to Mount Parker Road,Hong Kong Island,3,3,3,4,4,1.5,"Section 5 of the trail begins at Wong Nai Chung Reservoir.  The construction of the reservoir was one of the measures to improve water supply resources in the wake of the outbreak of plague in 1894.  Completed in 1899, the reservoir was originally operated as an ancillary water source to the Tai Tam Group of Reservoirs but later rendered superfluous by several larger reservoirs in the 1960s.    Its surviving waterworks construction including the dam, the valve house, and the weir are classified as declared monuments.  Section 5 of the Hong Kong Trail stretches for 4 kilometres only, but is steeply undulating, leading up to the summit of Jardine’s Lookout and the summit of Mount Butler.  The two summits afford some of the best views of Hong Kong – the former, at an elevation of over 400 metres, commands sweeping vistas of Victoria Harbour and downtown Kowloon, while the latter overlooks Lamma Island, Tai Tam Bay, and Stanley in the southern part of Hong Kong Island.  Alternating between climbs and descents, the trail ends with a flight of 599 steps, make sure you are physically and mentally fit to complete this section!"
T26,P04,Hong Kong Trail (Section 6) Mount Parker Road to Tai Tam Road,Hong Kong Island,2,2,3,1,4.5,1.5,"Section 6 of the Hong Kong Trail starts at Quarry Gap at an elevation of over 300 metres.  The towering trees by the sides of Mount Parker Road form a canopy of leaves that spreads all the way to the road, blocking out the sun and providing natural cooling, as if the path were air conditioned.  At the main dam of Tai Tam Upper Reservoir, the picture-postcard views of azure blue water and verdant hills come into sight, creating a sense of soothing tranquillity; the hundred-year-old main dam and masonry bridge, distinctive of Victorian architecture, are also worthy of appreciation – they are a feast for the eyes."
T27,P09,Hong Kong Trail (Section 7) Tai Tam Road to To Tei Wan,Hong Kong Island,2,3,2,1,7.5,2,"Section 7 is one of the easiest sections of the entire Hong Kong Trail.  The beginning of the trail is surrounded with trees, but further down the trail the vista is gradually less unobstructed.  Follow the Tai Tam East catchwater at the start point and you will be greeted with the delightful scenery of Tai Tam Bay and Red Hill Peninsula.  At weekends the otherwise serene Tai Tam Bay, which affords the views of Stanley Peninsula in the distance, is animated by crowds coming for water sports on its clear water.  Continuing on to the second half of the section, you will arrive in Lan Nai Wan Village, where ramshackle village houses remind you of the rustic peace and simplicity of the fishing village in days gone by.  Skirting along the hillside for the most part, the trail is an easy hike until beyond the catchwater near the finishing point, where it becomes increasingly precipitous – it first descends for dozens of metres and then leads up for some one hundred metres, which adds a bit of spice to the hike!"
T28,P09,Hong Kong Trail (Section 8)To Tei Wan to Tai Long Wan,Hong Kong Island,3,2,3,4,8.5,2.75,"Hong Kong Island is surrounded by sea, so stretches of coastline come into full view when you gaze in the distance from high ground.  The last as well as the longest section of the Hong Kong Trail is popular among hikers as it spans Dragon’s Back, which was hailed by international magazines as Asia’s best urban hike.  Walk uphill for about 200 metres at the start point at an elevation of over one hundred metres, and then follow the sign for Shek O Peak at 284 metres.  From there, you will see the undulating hills that extend all the way to Wan Cham Shan resemble the shape of a dragon’s back, which justifies its name.  The viewing point at the top boasts a superb panorama of Shek O, Tung Lung Island, Stanley, and Tai Tam.  The trail then joins a forest path at the hillside of Wan Cham Shan, where you can immerse yourself in tranquillity and serenity blessed by nature as the woodland hums to a beat of rustling leaves, twittering birds, and buzzing insects.  Further up in the shaded path of Mount Collinson, you can enjoy a sweeping vista from Chai Wan to Tseung Kwan O on the opposite shore.  Follow the trail downhill as soon as you arrive at Pottinger Gap, and it will lead you to the finishing point of the Hong Kong Trail – Big Wave Bay."
T29,P05,Hong Pak Country Trail,Hong Kong Island,2,3,2,2,3.3,1.25,"Situated around Quarry Bay and Tai Koo Shing, Hong Pak Country Trail not only brings you green vistas of the surrounding mountain ranges and scenes of birds chirping and flowers blooming, but also interesting looking rocks scattering along the path.  Through careful observation and imagination, “Dinosaur Rock” could be spotted.  The trail also offers a full view of the cityscape of Quarry Bay and its neighbouring areas, giving hikers magnificent feelings of being surrounded by the oasis of the city.  Don’t be surprised if you hear owls calling along the trail at dusk.  Since the finishing point of Hong Pak Country trail is connected with Quarry Bay Tree Walk, after finishing Hong Pak Country Trail, you can carry on with the Tree Walk and get a grasp of different species of trees, such as Oblong-leaved Litsea, Hong Kong Gordonia, and Yellow Cow Wood.  What is more, you can follow Mount Parker Road and drop by Woodside Biodiversity Education Centre, also known as ‘Red House’, where you can get to learn the natural environment and the biodiversity of the territory at its exhibition gallery.  Together with the classic design of the building, the place cannot be more tempting for visitors."
T30,P23,Hung Mui Kuk Nature Trail,Central New Territories,1,3,1,1,1.3,1,"Between spring and summer, visitors to Hung Mui Kuk are bound to fall into a fanciful reverie that strawberry Trees are scattered all over the mountain and the valley, which is how Hung Mui Kuk got its name. Located inside Lion Rock Country Park, Hung Mui Kuk Nature Trail overall is an easy hike, with some gentle ascending slopes despite a treacherous first half. Although Hung Mui Kuk is just separated from the town by a mountain, the scenes are as different as chalk and cheese. Long aerial roots of Chinese Banyan can be seen swaying in the wind near the start point; another special plant featured along the trail such as Lychee. The luxuriant vegetation in the valley is not only pleasing to the eye, but also purifies the air. Entertaining and educational, the trail is suitable for families. The trip is never complete without visiting Amah Rock, one of the mountain landmarks in Hong Kong. To reach it, follow the stairs on the right at the finishing point of the trail and ascend for some distance. The 30-feet Amah Rock was originally a massive rock erecting on the mountain but later split into two unevenly because of weathering. As the rock resembles a child on an adult’s back, together with the imagination of villagers and legends of fishing villages in Hong Kong, the legend that a woman carrying her child on her back waiting for her husband’s return becomes a story that everyone knows."
T31,P14,Kam Shan Family Walk,Central New Territories,1,2,1,2,1,0.5,"Monkeys in Hong Kong do not live in Water Curtain Cave; most of them are found in Kam Shan, or commonly known as Monkey Hill. Starting at Kowloon Reservoir and Shek Lei Pui Reservoir, Kam Shan Family Walk is an uphill shady path mainly consisting of stairs. It can look back on Kowloon Reservoir and is very popular among morning walkers. It winds back to Golden Hill Road, which is one of the few places in Hong Kong where people can get close to macaques. Macaques, although not aggressive, may get out of control and snatch food from people. It is therefore important to keep an eye on your food and bags, and remember not to feed them or get too close to them."
T32,P14,Kam Shan Tree Walk,Central New Territories,1,3,1,1,1,0.5,"Kam Shan Tree Walk is located in Kam Shan Country Park, with the entrance set at Kowloon Reservoir. The Tree Walk links to Stage 6 of MacLehose Trail at Golden Hill Road, and creates a beautiful scenery with the adjoining Kowloon Byewash Reservoir. The Tree Walk is 1km long and lined by a rich variety of tree species. A total of 15 interpretation plates are put up to help you appreciate and learn about trees, including Acronychia, Lingnan Garcinia and Silver-back Artocarpus."
